seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
180,unsigned,,90.000,255,7,1787088370.208
180,signed,330180,130.000,3,79,1787088370.341
181,unsigned,,90.000,255,7,1787088370.434
181,signed,330181,129.000,3,79,1787088370.566
182,unsigned,,92.000,255,7,1787088370.661
182,signed,330182,129.000,3,79,1787088370.793
183,unsigned,,88.000,255,7,1787088370.884
183,signed,330183,127.000,3,79,1787088371.014
184,unsigned,,90.000,255,7,1787088371.107
184,signed,330184,127.000,3,79,1787088371.237
185,unsigned,,90.000,255,7,1787088371.330
185,signed,330185,131.000,3,79,1787088371.464
186,unsigned,,89.000,255,7,1787088371.556
186,signed,330186,129.000,3,79,1787088371.687
187,unsigned,,89.000,255,7,1787088371.778
187,signed,330187,129.000,3,79,1787088371.909
188,unsigned,,92.000,255,7,1787088372.003
188,signed,330188,127.000,3,79,1787088372.133
189,unsigned,,88.000,255,7,1787088372.225
189,signed,330189,127.000,3,79,1787088372.353
190,unsigned,,89.000,255,7,1787088372.445
190,signed,330190,133.000,3,79,1787088372.581
191,unsigned,,95.000,255,7,1787088372.680
191,signed,330191,130.000,3,79,1787088372.814
192,unsigned,,95.000,255,7,1787088372.912
192,signed,330192,146.000,3,79,1787088373.062
193,unsigned,,93.000,255,7,1787088373.157
193,signed,330193,130.000,3,79,1787088373.290
194,unsigned,,90.000,255,7,1787088373.383
194,signed,330194,128.000,3,79,1787088373.513
195,unsigned,,88.000,255,7,1787088373.605
195,signed,330195,130.000,3,79,1787088373.736
196,unsigned,,90.000,255,7,1787088373.829
196,signed,330196,130.000,3,79,1787088373.962
197,unsigned,,100.000,255,7,1787088374.063
197,signed,330197,131.000,3,79,1787088374.197
198,unsigned,,90.000,255,7,1787088374.289
198,signed,330198,131.000,3,79,1787088374.421
199,unsigned,,91.000,255,7,1787088374.514
199,signed,330199,132.000,3,79,1787088374.649
200,unsigned,,91.000,255,7,1787088374.743
200,signed,330200,129.000,3,79,1787088374.875
201,unsigned,,91.000,255,7,1787088374.968
201,signed,330201,131.000,3,79,1787088375.100
202,unsigned,,88.000,255,7,1787088375.191
202,signed,330202,131.000,3,79,1787088375.324
203,unsigned,,87.000,255,7,1787088375.413
203,signed,330203,129.000,3,79,1787088375.545
204,unsigned,,89.000,255,7,1787088375.636
204,signed,330204,136.000,3,79,1787088375.775
205,unsigned,,90.000,255,7,1787088375.866
205,signed,330205,127.000,3,79,1787088376.000
206,unsigned,,92.000,255,7,1787088376.094
206,signed,330206,128.000,3,79,1787088376.225
207,unsigned,,89.000,255,7,1787088376.317
207,signed,330207,129.000,3,79,1787088376.450
208,unsigned,,90.000,255,7,1787088376.543
208,signed,330208,131.000,3,79,1787088376.677
209,unsigned,,300.000,255,7,1787088376.980
209,signed,330209,134.000,3,79,1787088377.117
210,unsigned,,88.000,255,7,1787088377.208
210,signed,330210,128.000,3,79,1787088377.339
211,unsigned,,92.000,255,7,1787088377.432
211,signed,330211,130.000,3,79,1787088377.566
212,unsigned,,87.000,255,7,1787088377.655
212,signed,330212,129.000,3,79,1787088377.786
213,unsigned,,92.000,255,7,1787088377.881
213,signed,330213,128.000,3,79,1787088378.011
214,unsigned,,91.000,255,7,1787088378.104
214,signed,330214,130.000,3,79,1787088378.236
215,unsigned,,89.000,255,7,1787088378.326
215,signed,330215,131.000,3,79,1787088378.459
216,unsigned,,91.000,255,7,1787088378.551
216,signed,330216,132.000,3,79,1787088378.684
217,unsigned,,89.000,255,7,1787088378.774
217,signed,330217,130.000,3,79,1787088378.907
218,unsigned,,90.000,255,7,1787088378.998
218,signed,330218,133.000,3,79,1787088379.132
219,unsigned,,89.000,255,7,1787088379.223
219,signed,330219,129.000,3,79,1787088379.354
220,unsigned,,90.000,255,7,1787088379.445
220,signed,330220,133.000,3,79,1787088379.578
221,unsigned,,93.000,255,7,1787088379.672
221,signed,330221,130.000,3,79,1787088379.805
222,unsigned,,92.000,255,7,1787088379.898
222,signed,330222,127.000,3,79,1787088380.027
223,unsigned,,90.000,255,7,1787088380.118
223,signed,330223,137.000,3,79,1787088380.256
224,unsigned,,89.000,255,7,1787088380.347
224,signed,330224,132.000,3,79,1787088380.482
225,unsigned,,91.000,255,7,1787088380.573
225,signed,330225,129.000,3,79,1787088380.704
226,unsigned,,90.000,255,7,1787088380.796
226,signed,330226,128.000,3,79,1787088380.926
227,unsigned,,90.000,255,7,1787088381.019
227,signed,330227,128.000,3,79,1787088381.149
228,unsigned,,87.000,255,7,1787088381.240
228,signed,330228,133.000,3,79,1787088381.376
229,unsigned,,96.000,255,7,1787088381.475
229,signed,330229,131.000,3,79,1787088381.609
230,unsigned,,91.000,255,7,1787088381.702
230,signed,330230,131.000,3,79,1787088381.835
231,unsigned,,96.000,255,7,1787088381.933
231,signed,330231,129.000,3,79,1787088382.064
232,unsigned,,92.000,255,7,1787088382.156
232,signed,330232,130.000,3,79,1787088382.288
233,unsigned,,89.000,255,7,1787088382.379
233,signed,330233,134.000,3,79,1787088382.515
234,unsigned,,90.000,255,7,1787088382.609
234,signed,330234,128.000,3,79,1787088382.740
235,unsigned,,88.000,255,7,1787088382.830
235,signed,330235,129.000,3,79,1787088382.962
236,unsigned,,90.000,255,7,1787088383.053
236,signed,330236,131.000,3,79,1787088383.186
237,unsigned,,96.000,255,7,1787088383.284
237,signed,330237,129.000,3,79,1787088383.416
238,unsigned,,91.000,255,7,1787088383.510
238,signed,330238,133.000,3,79,1787088383.645
239,unsigned,,89.000,255,7,1787088383.737
239,signed,330239,128.000,3,79,1787088383.868
240,unsigned,,90.000,255,7,1787088383.960
240,signed,330240,129.000,3,79,1787088384.090
241,unsigned,,90.000,255,7,1787088384.182
241,signed,330241,127.000,3,79,1787088384.311
242,unsigned,,90.000,255,7,1787088384.402
242,signed,330242,128.000,3,79,1787088384.533
243,unsigned,,90.000,255,7,1787088384.625
243,signed,330243,131.000,3,79,1787088384.757
244,unsigned,,91.000,255,7,1787088384.850
244,signed,330244,130.000,3,79,1787088384.984
245,unsigned,,90.000,255,7,1787088385.077
245,signed,330245,132.000,3,79,1787088385.212
246,unsigned,,88.000,255,7,1787088385.302
246,signed,330246,132.000,3,79,1787088385.436
247,unsigned,,88.000,255,7,1787088385.526
247,signed,330247,132.000,3,79,1787088385.658
248,unsigned,,92.000,255,7,1787088385.752
248,signed,330248,133.000,3,79,1787088385.887
249,unsigned,,89.000,255,7,1787088385.978
249,signed,330249,129.000,3,79,1787088386.110
250,unsigned,,91.000,255,7,1787088386.203
250,signed,330250,129.000,3,79,1787088386.336
251,unsigned,,91.000,255,7,1787088386.429
251,signed,330251,128.000,3,79,1787088386.559
252,unsigned,,89.000,255,7,1787088386.651
252,signed,330252,132.000,3,79,1787088386.786
253,unsigned,,89.000,255,7,1787088386.877
253,signed,330253,131.000,3,79,1787088387.011
254,unsigned,,91.000,255,7,1787088387.104
254,signed,330254,129.000,3,79,1787088387.235
255,unsigned,,90.000,255,7,1787088387.326
255,signed,330255,130.000,3,79,1787088387.459
256,unsigned,,87.000,255,7,1787088387.548
256,signed,330256,145.000,3,79,1787088387.697
257,unsigned,,138.000,255,7,1787088387.839
257,signed,330257,171.000,3,79,1787088388.014
258,unsigned,,88.000,255,7,1787088388.104
258,signed,330258,131.000,3,79,1787088388.237
259,unsigned,,89.000,255,7,1787088388.328
